id,CODE,Electorate,VerifiedBallotPapers,Remain,Leave,RemainPlusLeave,NoVote
108,E06000031,120892,87469,34176,53216,87392,33500
109,E06000032,127612,84636,36708,47773,84481,43131
112,E06000033,128856,93939,39348,54522,93870,34986
113,E06000034,109897,79954,22151,57765,79916,29981
110,E06000055,119530,86136,41497,44569,86066,33464
111,E06000056,204004,158896,69670,89134,158804,45200
184,E07000008,80108,57860,42682,15117,57799,22309
185,E07000009,62435,48120,23599,24487,48086,14349
186,E07000010,71447,52649,15055,37571,52626,18821
187,E07000011,128486,99990,45729,54198,99927,28559
188,E07000012,114830,93263,56128,37061,93189,21641
222,E07000066,132771,98071,30748,67251,97999,34772
223,E07000067,112562,86309,33523,52713,86236,26326
224,E07000068,58777,46724,19077,27627,46704,12073
225,E07000069,68860,51909,14154,37691,51845,17015
226,E07000070,129971,100866,47545,53249,100794,29177
227,E07000071,127520,95802,44414,51305,95719,31801
228,E07000072,100016,76900,28676,48176,76852,23164
229,E07000073,59124,43489,13867,29602,43469,15655
230,E07000074,49073,38850,14529,24302,38831,10242
231,E07000075,66589,52479,17510,34937,52447,14142
232,E07000076,111167,82725,25210,57447,82657,28510
233,E07000077,64735,51972,25619,26324,51943,12792
251,E07000095,68997,50907,17166,33706,50872,18125
252,E07000096,108965,86308,42542,43702,86244,22721
254,E07000098,73295,56159,27593,28532,56125,17170
255,E07000099,99316,77741,42234,35438,77672,21644
258,E07000102,67380,52898,25751,27097,52848,14532
259,E07000103,65060,46635,23167,23419,46586,18474
299,E07000143,98989,73593,26313,47235,73548,25441
300,E07000144,99254,77783,35469,42268,77737,21517
301,E07000145,72634,50156,14284,35844,50128,22506
302,E07000146,113884,85128,28587,56493,85080,28804
303,E07000147,83065,63838,26214,37576,63790,19275
304,E07000148,96091,66423,37326,29040,66366,29725
305,E07000149,102395,80418,38817,41541,80358,22037
345,E07000200,70628,55274,25309,29933,55242,15386
346,E07000201,38527,27977,9791,18160,27951,10576
347,E07000202,91574,66405,27698,38655,66353,25221
348,E07000203,78325,61231,27391,33794,61185,17140
349,E07000204,81148,62256,26986,35224,62210,18938
350,E07000205,98195,79231,37218,41966,79184,19011
351,E07000206,90391,65687,24356,41290,65646,24745
256,E07000240,104859,86516,54208,32237,86445,18414
260,E07000241,78146,58641,27550,31060,58610,19536
253,E07000242,106260,85435,42372,42994,85366,20894
257,E07000243,62156,45811,18659,27126,45785,16371
88,E06000015,171246,120798,51612,69043,120655,50591
89,E06000016,213819,139309,70980,67992,138972,74847
90,E06000017,29390,22986,11353,11613,22966,6424
91,E06000018,195394,120792,59318,61343,120661,74733
195,E07000032,96760,73868,29319,44501,73820,22940
196,E07000033,58063,42000,12242,29730,41972,16091
197,E07000034,79905,57470,22946,34478,57424,22481
198,E07000035,57075,46756,22633,24095,46728,10347
199,E07000036,87596,66566,25791,40739,66530,21066
200,E07000037,72487,54864,27116,27717,54833,17654
201,E07000038,78855,59341,22075,37235,59310,19545
202,E07000039,73856,56718,22479,34216,56695,17161
285,E07000129,73832,56514,22888,33583,56471,17361
286,E07000130,133780,94258,43500,50672,94172,39608
287,E07000131,67420,54918,27028,27850,54878,12542
288,E07000132,85305,65516,25969,39501,65470,19835
289,E07000133,37273,30322,12695,17610,30305,6968
290,E07000134,73944,57655,22642,34969,57611,16333
291,E07000135,42684,31488,14292,17173,31465,11219
292,E07000136,39363,30417,7430,22974,30404,8959
293,E07000137,107009,80179,23515,56613,80128,26881
294,E07000138,63351,43928,18902,24992,43894,19457
295,E07000139,86468,67791,25570,42183,67753,18715
296,E07000140,65701,49518,13074,36423,49497,16204
297,E07000141,105457,82525,33047,49424,82471,22986
298,E07000142,73499,54781,20906,33847,54753,18746
306,E07000150,43313,32100,11470,20611,32081,11232
307,E07000151,61004,49420,20443,28938,49381,11623
308,E07000152,68334,52614,21680,30894,52574,15760
309,E07000153,70570,53941,21030,32877,53907,16663
310,E07000154,144948,105350,43805,61454,105259,39689
311,E07000155,71309,56659,25853,30771,56624,14685
312,E07000156,54572,41177,15462,25679,41141,13431
320,E07000170,91916,66947,20179,46720,66899,25017
321,E07000171,85547,64005,20575,43392,63967,21580
322,E07000172,83593,65468,29672,35754,65426,18167
323,E07000173,88298,67635,30035,37542,67577,20721
324,E07000174,77624,56369,16417,39927,56344,21280
325,E07000175,87338,67128,26571,40516,67087,20251
326,E07000176,86401,70470,40522,29888,70410,15991
1,E09000001,5987,4405,3312,1087,4399,1588
2,E09000002,115812,73941,27750,46130,73880,41932
3,E09000003,223467,161208,100210,60823,161033,62434
4,E09000004,170779,128570,47603,80886,128489,42290
5,E09000005,186793,121678,72523,48881,121404,65389
6,E09000006,231473,182570,92398,90034,182432,49041
7,E09000007,145425,95282,71295,23838,95133,50292
8,E09000008,245349,171292,92913,78221,171134,74215
9,E09000009,212991,149267,90024,59017,149041,63950
10,E09000010,198387,137056,76425,60481,136906,61481
11,E09000011,168967,117472,65248,52117,117365,51602
12,E09000012,163284,106422,83398,22868,106266,57018
13,E09000013,114863,80350,56188,24054,80242,34621
14,E09000014,150098,106034,79991,25855,105846,44252
15,E09000015,162397,117361,64042,53183,117225,45172
16,E09000016,183082,139176,42201,96885,139086,43996
17,E09000017,193033,133171,58040,74982,133022,60011
18,E09000018,165050,115209,58755,56321,115076,49974
19,E09000019,144514,101726,76420,25180,101600,42914
20,E09000020,83042,54801,37601,17138,54739,28303
21,E09000021,108838,85335,52533,32737,85270,23568
22,E09000022,210800,142162,111584,30340,141924,68876
23,E09000023,197514,124622,86955,37518,124473,73041
24,E09000024,136352,100207,63003,37097,100100,36252
25,E09000025,176985,104861,55328,49371,104699,72286
26,E09000026,189843,128423,69213,59020,128233,61610
27,E09000027,132632,108888,75396,33410,108806,23826
28,E09000028,195875,129680,94293,35209,129502,66373
29,E09000029,140288,106630,49319,57241,106560,33728
30,E09000030,167820,108403,73011,35224,108235,59585
31,E09000031,162983,108689,64156,44395,108551,54432
32,E09000032,219521,158018,118463,39421,157884,61637
33,E09000033,120524,78325,53928,24268,78196,42328
70,E06000001,70341,46134,14029,32071,46100,24241
71,E06000002,94612,61393,21181,40177,61358,33254
72,E06000003,103529,72741,24586,48128,72714,30815
73,E06000004,141486,100460,38433,61982,100415,41071
74,E06000005,77662,55195,24172,30994,55166,22496
75,E06000047,389507,267546,113521,153877,267398,122109
76,E06000057,240496,178815,82022,96699,178721,61775
54,E08000021,190735,129072,65405,63598,129003,61732
55,E08000022,156993,113507,52873,60589,113462,43531
56,E08000023,115893,79117,30014,49065,79079,36814
57,E08000024,207221,134400,51930,82394,134324,72897
53,E08000037,145866,103007,44429,58529,102958,42908
78,E06000006,95289,65047,27678,37327,65005,30284
79,E06000007,157042,115206,52657,62487,115144,41898
81,E06000008,100117,65408,28522,36799,65321,34796
82,E06000009,102354,66959,21781,45146,66927,35427
77,E06000049,285957,221229,107962,113163,221125,64832
80,E06000050,259878,193633,95455,98082,193537,66341
189,E07000026,74426,54268,22429,31809,54238,20188
190,E07000027,53194,36101,14207,21867,36074,17120
191,E07000028,80124,59721,23788,35895,59683,20441
192,E07000029,54206,37975,14419,23528,37947,16259
193,E07000030,41872,31746,14807,16911,31718,10154
194,E07000031,81948,65375,34531,30800,65331,16617
273,E07000117,64461,43350,14462,28854,43316,21145
274,E07000118,84159,63562,27417,36098,63515,20644
275,E07000119,61174,46227,19889,26317,46206,14968
276,E07000120,62042,40168,13569,26568,40137,21905
277,E07000121,100567,73098,35732,37309,73041,27526
278,E07000122,64534,45388,16704,28631,45335,19199
279,E07000123,94284,64794,30227,34518,64745,29539
280,E07000124,46148,36466,15892,20550,36442,9706
281,E07000125,52750,38204,15012,23169,38181,14569
282,E07000126,84573,63755,26406,37318,63724,20849
283,E07000127,85834,63918,28546,35323,63869,21965
284,E07000128,84471,63028,22816,40163,62979,21492
34,E08000001,197109,138180,57589,80491,138080,59029
35,E08000002,141600,101144,46354,54674,101028,40572
36,E08000003,338064,202067,121823,79991,201814,136250
37,E08000004,158084,107493,42034,65369,107403,50681
38,E08000005,156621,103319,41217,62014,103231,53390
39,E08000006,173668,109926,47430,62385,109815,63853
40,E08000007,221162,163584,85559,77930,163489,57673
41,E08000008,168047,111016,43118,67829,110947,57100
42,E08000009,165294,125400,72293,53018,125311,39983
43,E08000010,235982,163381,58942,104331,163273,72709
44,E08000011,111647,70937,34345,36558,70903,40744
45,E08000012,317924,203728,118453,85101,203554,114370
46,E08000013,136096,93721,39322,54357,93679,42417
47,E08000014,206298,147970,76702,71176,147878,58420
48,E08000015,242568,172137,88931,83069,172000,70568
153,S12000005,37841,25439,14691,10736,25427,12414
155,S12000006,115837,82715,43864,38803,82667,33170
157,S12000008,91977,57859,33891,23942,57833,34144
159,S12000010,77788,55800,36026,19738,55764,22024
160,S12000011,69575,52969,39345,13596,52941,16634
179,S12000013,21259,14919,8232,6671,14903,6356
162,S12000014,117392,79302,44987,34271,79258,38134
163,S12000015,272995,182307,106754,75466,182220,90775
165,S12000017,175563,125728,70308,55349,125657,49906
166,S12000018,58624,38722,24688,14010,38698,19926
167,S12000019,66758,45497,28217,17251,45468,21290
168,S12000020,71370,48139,24114,23992,48106,23264
169,S12000021,104572,67548,38394,29110,67504,37068
171,S12000023,16658,11402,7189,4193,11382,5276
172,S12000024,110224,81294,49641,31614,81255,28969
152,S12000026,88440,64953,37952,26962,64914,23526
174,S12000027,17375,12231,6907,5315,12222,5153
175,S12000028,88116,61542,36265,25241,61506,26610
176,S12000029,248949,162683,102568,60024,162592,86357
177,S12000030,66100,48931,33112,15787,48899,17201
148,S12000033,154266,104809,63985,40729,104714,49552
149,S12000034,196809,139014,76445,62516,138961,57848
151,S12000035,66642,48734,29494,19202,48696,17946
161,S12000036,346073,252481,187796,64498,252294,93779
173,S12000038,127294,88197,57119,31010,88129,39165
154,S12000039,67595,43245,26794,16426,43220,24375
178,S12000040,130925,88556,51560,36948,88508,42417
150,S12000041,87137,59282,32747,26511,59258,27879
156,S12000042,105554,66418,39688,26697,66385,39169
170,S12000044,254567,155045,95549,59400,154949,99618
158,S12000045,83031,62418,44534,17840,62374,20657
164,S12000046,449806,253000,168335,84474,252809,196997
114,E06000035,192524,138975,49889,88997,138886,53638
115,E06000036,85298,64922,29888,35002,64890,20408
116,E06000037,116757,93345,48300,44977,93277,23480
117,E06000038,103172,74825,43385,31382,74767,28405
118,E06000039,87873,54604,24911,29631,54542,33331
119,E06000040,102665,81865,44086,37706,81792,20873
120,E06000041,121891,97551,55272,42229,97501,24390
121,E06000042,177211,130536,63393,67063,130456,46755
122,E06000043,198293,146840,100648,46027,146675,51618
123,E06000044,140517,98786,41384,57336,98720,41797
124,E06000045,158171,107772,49738,57927,107665,50506
125,E06000046,109844,79430,30207,49173,79380,30464
180,E07000004,136235,106895,52877,53956,106833,29402
181,E07000005,70185,58651,32241,26363,58604,11581
182,E07000006,52194,40755,20077,20647,40724,11470
183,E07000007,125260,94869,49261,45529,94790,30470
217,E07000061,71726,53598,22845,30700,53545,18181
218,E07000062,61957,44387,20011,24339,44350,17607
219,E07000063,76428,59531,30974,28508,59482,16946
220,E07000064,72755,57715,23916,33753,57669,15086
221,E07000065,121141,96958,44084,52808,96892,24249
240,E07000084,128677,100395,48257,52071,100328,28349
241,E07000085,90588,73971,37346,36576,73922,16666
242,E07000086,97280,76148,36172,39902,76074,21206
243,E07000087,90175,71772,32210,39525,71735,18440
244,E07000088,62781,46150,16671,29456,46127,16654
245,E07000089,69946,57822,30282,27513,57795,12151
246,E07000090,95366,70670,26582,44047,70629,24737
247,E07000091,141061,111786,47199,64541,111740,29321
248,E07000092,65790,48800,20384,28396,48780,17010
249,E07000093,94559,75316,36170,39091,75261,19298
250,E07000094,89595,72801,42878,29886,72764,16831
261,E07000105,90516,69828,28314,41472,69786,20730
262,E07000106,109399,82105,40169,41879,82048,27351
263,E07000107,73951,55883,19985,35870,55855,18096
264,E07000108,85011,65057,24606,40410,65016,19995
265,E07000109,72808,54553,18876,35643,54519,18289
266,E07000110,117298,89173,36762,52365,89127,28171
267,E07000111,87253,70393,32091,38258,70349,16904
268,E07000112,80879,60659,22884,37729,60613,20266
269,E07000113,102209,75913,28481,47388,75869,26340
270,E07000114,99108,72146,26065,46037,72102,27006
271,E07000115,93019,74066,32792,41229,74021,18998
272,E07000116,82181,65047,35676,29320,64996,17185
327,E07000177,108342,81912,40668,41168,81836,26506
328,E07000178,97331,70411,49424,20913,70337,26994
329,E07000179,104231,84167,46245,37865,84110,20121
330,E07000180,94487,76706,43462,33192,76654,17833
331,E07000181,82441,65719,35236,30435,65671,16770
352,E07000207,98613,77063,45841,31162,77003,21610
353,E07000208,56382,45343,23596,21707,45303,11079
354,E07000209,102209,78671,44155,34458,78613,23596
355,E07000210,66730,54830,29088,25708,54796,11934
356,E07000211,103731,81200,40181,40980,81161,22570
357,E07000212,58272,44326,20259,24035,44294,13978
358,E07000213,72674,56639,22474,34135,56609,16065
359,E07000214,65569,52330,25638,26667,52305,13264
360,E07000215,64044,51466,24251,27169,51420,12624
361,E07000216,92291,75999,44341,31601,75942,16349
362,E07000217,71313,55261,31007,24214,55221,16092
368,E07000223,48755,37251,16914,20315,37229,11526
369,E07000224,117138,91198,34193,56936,91129,26009
370,E07000225,91659,71406,35011,36326,71337,20322
371,E07000226,73575,53883,22388,31447,53835,19740
372,E07000227,104270,85133,43785,41303,85088,19182
373,E07000228,108416,87588,46471,41057,87528,20888
374,E07000229,81384,61416,28851,32515,61366,20018
96,E06000022,136522,105298,60878,44352,105230,31292
97,E06000023,312465,228678,141027,87418,228445,84020
98,E06000024,160860,124622,59572,64976,124548,36312
99,E06000025,207793,158424,74928,83405,158333,49460
102,E06000026,186989,133524,53458,79997,133455,53534
103,E06000027,102961,75868,27935,47889,75824,27137
104,E06000028,132752,91998,41473,50453,91926,40826
105,E06000029,113421,85494,35741,49707,85448,27973
106,E06000030,148960,113060,51220,61745,112965,35995
100,E06000052,419755,323491,140540,182665,323205,96550
101,E06000053,1799,1424,803,621,1424,375
107,E06000054,366555,289102,137258,151637,288895,77660
203,E07000040,112527,88831,40743,48040,88783,23744
204,E07000041,86417,63877,35270,28533,63803,22614
205,E07000042,60532,48049,22400,25606,48006,12526
206,E07000043,75548,58056,24931,33100,58031,17517
207,E07000044,69121,55486,29308,26142,55450,13671
208,E07000045,103740,82377,37949,44363,82312,21428
209,E07000046,52881,41461,16229,25200,41429,11452
210,E07000047,43823,35613,16658,18937,35595,8228
211,E07000048,39176,31066,12782,18268,31050,8126
212,E07000049,71966,58530,24786,33702,58488,13478
213,E07000050,52980,42223,18399,23802,42201,10779
214,E07000051,36418,28736,11754,16966,28720,7698
215,E07000052,82071,65237,31924,33267,65191,16880
216,E07000053,50442,38271,14903,23352,38255,12187
234,E07000078,87060,66059,37081,28932,66013,21047
235,E07000079,68734,54847,28015,26806,54821,13913
236,E07000080,66705,51678,21392,30251,51643,15062
237,E07000081,89661,64608,26801,37776,64577,25084
238,E07000082,92631,74128,40446,33618,74064,18567
239,E07000083,67831,53686,25084,28568,53652,14179
332,E07000187,85068,65509,33427,32028,65455,19613
333,E07000188,89714,68448,26545,41869,68414,21300
334,E07000189,126495,99535,42527,56940,99467,27028
335,E07000190,84164,65785,30944,34789,65733,18431
336,E07000191,27478,21752,8566,13168,21734,5744
126,W06000001,51445,37981,18618,19333,37951,13494
127,W06000002,84575,61245,35517,25665,61182,23393
128,W06000003,91368,65558,30147,35357,65504,25864
129,W06000004,75362,52108,23955,28117,52072,23290
130,W06000005,115964,86854,37867,48930,86797,29167
131,W06000006,98384,70407,28822,41544,70366,28018
133,W06000008,53400,39772,21711,18031,39742,13658
134,W06000009,92155,68555,29367,39155,68522,23633
135,W06000010,139227,103126,47654,55381,103035,36192
136,W06000011,172941,120362,58307,61936,120243,52698
137,W06000012,105766,75694,32651,43001,75652,30114
138,W06000013,104492,74380,33723,40622,74345,30147
139,W06000014,95011,72347,36681,35628,72309,22702
147,W06000015,243689,169753,101788,67816,169604,74085
140,W06000016,172890,116645,53973,62590,116563,56327
142,W06000018,130801,92528,39178,53295,92473,38328
143,W06000019,51136,34812,13215,21587,34802,16334
144,W06000020,68957,48172,19363,28781,48144,20813
145,W06000021,71607,55670,28061,27569,55630,15977
146,W06000022,104977,73708,32413,41236,73649,31328
132,W06000023,103270,79517,36762,42707,79469,23801
141,W06000024,42855,28881,12574,16291,28865,13990
92,E06000019,138247,108336,44148,64122,108270,29977
93,E06000020,124338,89704,32954,56649,89603,34735
95,E06000021,179010,117680,36027,81563,117590,61420
94,E06000051,236788,183324,78987,104166,183153,53635
337,E07000192,75010,53610,16684,36894,53578,21432
338,E07000193,83558,62160,22850,39266,62116,21442
339,E07000194,80369,63318,26064,37214,63278,17091
340,E07000195,92816,68966,25477,43457,68934,23882
341,E07000196,85777,66741,23444,43248,66692,19085
342,E07000197,99612,77527,34098,43386,77484,22128
343,E07000198,79347,59793,21076,38684,59760,19587
344,E07000199,56825,42151,13705,28424,42129,14696
363,E07000218,49790,37975,12569,25385,37954,11836
364,E07000219,93978,69876,23736,46095,69831,24147
365,E07000220,74137,58593,25350,33199,58549,15588
366,E07000221,98014,79217,38341,40817,79158,18856
367,E07000222,103099,81695,47976,33642,81618,21481
375,E07000234,74170,58855,26252,32563,58815,15355
376,E07000235,60217,48538,23203,25294,48497,11720
377,E07000236,61038,45913,17303,28579,45882,15156
378,E07000237,73516,54289,25125,29114,54239,19277
379,E07000238,94497,76425,32188,44201,76389,18108
380,E07000239,77878,57666,21240,36392,57632,20246
58,E08000025,707293,451336,223451,227251,450702,256591
59,E08000026,221389,153234,67967,85097,153064,68325
60,E08000027,244516,175333,56780,118446,175226,69290
61,E08000028,221429,147418,49004,98250,147254,74175
62,E08000029,160425,122017,53466,68484,121950,38475
63,E08000030,194729,135684,43572,92007,135579,59150
64,E08000031,174760,118037,44138,73798,117936,56824
83,E06000010,180230,113439,36709,76646,113355,66875
84,E06000011,266047,199039,78779,120136,198915,67132
85,E06000012,116302,79013,23797,55185,78982,37320
86,E06000013,123611,88907,29947,58915,88862,34749
87,E06000014,155157,109691,63617,45983,109600,45557
313,E07000163,44320,35907,16930,18961,35891,8429
314,E07000164,70133,55016,25480,29502,54982,15151
315,E07000165,119987,94665,48211,46374,94585,25402
316,E07000166,36794,27652,11945,15691,27636,9158
317,E07000167,41529,32069,14340,17710,32050,9479
318,E07000168,82900,60539,22999,37512,60511,22389
319,E07000169,65278,51639,21071,30532,51603,13675
49,E08000016,175809,122972,38951,83958,122909,52900
50,E08000017,217432,151246,46922,104260,151182,66250
51,E08000018,197623,137474,44115,93272,137387,60236
52,E08000019,396406,266951,130735,136018,266753,129653
65,E08000032,342817,228729,104575,123913,228488,114329
66,E08000033,149195,106008,46950,58975,105925,43270
67,E08000034,307081,217449,98485,118755,217240,89841
68,E08000035,543033,387730,194863,192474,387337,155696
69,E08000036,246096,175259,58877,116165,175042,71054
